danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,song_artist_names,artist_name,song_popularity,released_date,duration_m,published_days
0.65,0.195,5,-13.678,1,0.0495,0.645,0.000797,0.107,0.375,103.168,audio_features,6SiVDtUuESkBzjUl2raZkN,spotify:track:6SiVDtUuESkBzjUl2raZkN,https://api.spotify.com/v1/tracks/6SiVDtUuESkBzjUl2raZkN,https://api.spotify.com/v1/audio-analysis/6SiVDtUuESkBzjUl2raZkN,250485,4,Da Lau Roi - Cheung,['Cheung'],Cheung,34,2021-02-25,4.17,494
0.665,0.277,0,-12.457,0,0.0336,0.869,0.000239,0.158,0.236,116.105,audio_features,0AFGP6yJiakwce0evtrbxd,spotify:track:0AFGP6yJiakwce0evtrbxd,https://api.spotify.com/v1/tracks/0AFGP6yJiakwce0evtrbxd,https://api.spotify.com/v1/audio-analysis/0AFGP6yJiakwce0evtrbxd,250539,3,Hoàng Hôn - Cheung,['Cheung'],Cheung,46,2019-05-10,4.18,1151
0.896,0.668,9,-9.557,1,0.131,0.0135,0.000151,0.163,0.137,120.942,audio_features,7juBGohx5480aS1K59ExPT,spotify:track:7juBGohx5480aS1K59ExPT,https://api.spotify.com/v1/tracks/7juBGohx5480aS1K59ExPT,https://api.spotify.com/v1/audio-analysis/7juBGohx5480aS1K59ExPT,119562,4,Cheung Beat - Cheung,"['Socr8s', 'Cheung']",Cheung,1,2022-05-01,1.99,64
0.717,0.47,0,-9.917,1,0.035,0.479,0.0262,0.106,0.675,136.055,audio_features,4YNOTogSCZzSRMdhwfTG00,spotify:track:4YNOTogSCZzSRMdhwfTG00,https://api.spotify.com/v1/tracks/4YNOTogSCZzSRMdhwfTG00,https://api.spotify.com/v1/audio-analysis/4YNOTogSCZzSRMdhwfTG00,199000,4,Leilah - Mademoiselle,['Mademoiselle'],Mademoiselle,20,2022-01-20,3.32,165
0.755,0.454,7,-10.255,1,0.0703,0.0783,0.596,0.206,0.54,74.997,audio_features,5YBU3nnLZ51qJgBunwu4b6,spotify:track:5YBU3nnLZ51qJgBunwu4b6,https://api.spotify.com/v1/tracks/5YBU3nnLZ51qJgBunwu4b6,https://api.spotify.com/v1/audio-analysis/5YBU3nnLZ51qJgBunwu4b6,201000,4,When we - Mademoiselle,['Mademoiselle'],Mademoiselle,15,2022-01-20,3.35,165
0.565,0.482,7,-11.365,1,0.0245,0.494,0.0899,0.157,0.222,75.006,audio_features,5derBKgunEfOL9WSAnA0Jw,spotify:track:5derBKgunEfOL9WSAnA0Jw,https://api.spotify.com/v1/tracks/5derBKgunEfOL9WSAnA0Jw,https://api.spotify.com/v1/audio-analysis/5derBKgunEfOL9WSAnA0Jw,253000,3,Thôi - remaster - Mademoiselle,['Mademoiselle'],Mademoiselle,13,2022-01-20,4.22,165
0.634,0.395,0,-11.701,1,0.0336,0.466,0.349,0.114,0.445,144.988,audio_features,5zd5NXP7TtBHBJMaUZY0vm,spotify:track:5zd5NXP7TtBHBJMaUZY0vm,https://api.spotify.com/v1/tracks/5zd5NXP7TtBHBJMaUZY0vm,https://api.spotify.com/v1/audio-analysis/5zd5NXP7TtBHBJMaUZY0vm,225941,4,Hillside - Mademoiselle,['Mademoiselle'],Mademoiselle,13,2022-01-20,3.77,165
0.646,0.417,4,-10.692,0,0.0313,0.687,0.0473,0.112,0.0588,76.983,audio_features,2jafHuCn7S0Yno5VC8GMms,spotify:track:2jafHuCn7S0Yno5VC8GMms,https://api.spotify.com/v1/tracks/2jafHuCn7S0Yno5VC8GMms,https://api.spotify.com/v1/audio-analysis/2jafHuCn7S0Yno5VC8GMms,212000,4,Rơi - Mademoiselle,['Mademoiselle'],Mademoiselle,14,2022-01-20,3.53,165
0.271,0.366,9,-9.863,0,0.0338,0.693,0.0724,0.154,0.344,204.08,audio_features,2dtrC7LgDO0xvRJc8H1TFa,spotify:track:2dtrC7LgDO0xvRJc8H1TFa,https://api.spotify.com/v1/tracks/2dtrC7LgDO0xvRJc8H1TFa,https://api.spotify.com/v1/audio-analysis/2dtrC7LgDO0xvRJc8H1TFa,208000,3,The tale of Black Rose - Mademoiselle,['Mademoiselle'],Mademoiselle,13,2022-01-20,3.47,165
0.645,0.43,7,-11.98,1,0.0387,0.17,0.723,0.119,0.468,72.5,audio_features,3RXWpXqb1n6P6pJfbo0X8N,spotify:track:3RXWpXqb1n6P6pJfbo0X8N,https://api.spotify.com/v1/tracks/3RXWpXqb1n6P6pJfbo0X8N,https://api.spotify.com/v1/audio-analysis/3RXWpXqb1n6P6pJfbo0X8N,182876,4,Tự do - Mademoiselle,['Mademoiselle'],Mademoiselle,19,2022-01-20,3.05,165
