name,nodes
VÉ ĐI THIÊN ĐƯỜNG (một chiều) - Ngọt,57
Chào Em - Minh Cà Ri,56
Goldfish - MINH,50
Hà Nội Và Em (feat. Thái Đinh) - Thái Đinh,48
Hà Nội Và Em (feat. Thái Đinh) - Minh Cà Ri,48
Tết Là - Mademoiselle,47
Hà Nội Và Em - Thái Đinh,47
Hà Nội Và Em - Minh Cà Ri,47
Why Don't You Come? - Mademoiselle,45
Ba núi ba đèo - Lê Cát Trọng Lý,45
ĐÃ TRÔI HẾT SẠCH - Lê Cát Trọng Lý,44
Tôi Đem Giấc Mơ Mình - TRANG,43
What Is Love? - MINH,43
CON MA ĐANG SỐNG - Lê Cát Trọng Lý,43
Lại Gần Và Để Anh Ôm Em Lâu Hơn - Acoustic Version - Haisam,42
Quả Bóng Màu Hồng - Cá Hồi Hoang,42
11h11 - Thái Đinh,42
11h11 - NamKun,42
Có Những Chiều - Minh Cà Ri,42
Là Em (Live Session) - Thái Đinh,41
